_id,id,parcel_id,inactive,name,rentable,type,primary_user,address_number,street,zip,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1,650726265,120-J-300,f,57th Street Park Building,f,Storage,Department of Public Works,NA,57TH ST,,https://tools.wprdc.org/images/pittsburgh/facilities/57th_Street_Park_Building.jpg,Upper Lawrenceville,7,10,42003101100,2,10,2,3-5,40.48566604,-79.94644957
2,783044037,2-H-284,f,Albert Turk Graham Park Shelter,f,Shelter,Department of Public Works,39,VINE ST,,https://tools.wprdc.org/images/pittsburgh/facilities/Albert_Turk_Graham_Park_Shelter.jpg,Crawford-Roberts,6,3,42003030500,3,3,2,2-1,40.44045824,-79.98410437
3,1997158435,23-R-157,f,Allegheny Northside Senior Center and Hazlett Theater,t,Senior,CitiParks,5,ALLEGHENY SQ E,15212,https://tools.wprdc.org/images/pittsburgh/facilities/Allegheny_Northside_Senior_Center_and_Hazlett_Theater.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-6,40.45309924,-80.00534252
4,204824684,10-F-198,f,Ammon Recreation Center,f,Pool,CitiParks,2217,BEDFORD AVE,15219,https://tools.wprdc.org/images/pittsburgh/facilities/Ammon_Recreation_Center.jpg,Bedford Dwellings,6,5,42003050900,3,5,2,2-5,40.44873494,-79.97785631
5,472140955,013-K-314,f,Arlington Field Lights Building,f,Utility,CitiParks,0,STERLING ST,15210,https://tools.wprdc.org/images/pittsburgh/facilities/Arlington_Field_Lights_Building.jpg,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41815234,-79.9744707
6,984285720,13-F-217,f,Arlington Recreation Center,t,Activity,CitiParks,2201,SALISBURY ST,15210,,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41926903,-79.97521477
7,2110346447,13-K-314,f,Arlington Pool Restrooms,f,Pool,CitiParks,1630,STERLING ST,15210,https://tools.wprdc.org/images/pittsburgh/facilities/Arlington_Pool_Restrooms.jpg,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.41775268,-79.97468811
8,263802473,3-M-404,f,Armstrong Field Building,f,Restrooms,CitiParks,1201,SARAH ST,15203,https://tools.wprdc.org/images/pittsburgh/facilities/Armstrong_Field_Building.jpg,South Side Flats,3,17,42003170200,3,17,3,4-24,40.42831759,-79.98616564
9,271629667,49-K-61,f,Arsenal Park Building,f,Restrooms,CitiParks,3900,BUTLER ST,15201,https://tools.wprdc.org/images/pittsburgh/facilities/Arsenal_Park_Building.jpg,Lower Lawrenceville,7,6,42003060300,2,6,2,3-3,40.46675277,-79.96034365
10,436558867,,f,Asphalt Plant Equipment Shelter,f,Service,Department of Public Works,NA,LOCKWAY EAST,,https://tools.wprdc.org/images/pittsburgh/facilities/Asphalt_Plant_Equipment_Shelter.jpg,Highland Park,9,12,42003980100,2,12,5,3-15,40.48491042,-79.90636962
11,1534014655,122-L-50,f,Asphalt Plant Garage 2,f,Storage,Department of Public Works,7777,LOCKWAY EAST,,https://tools.wprdc.org/images/pittsburgh/facilities/Asphalt_Plant_Garage_2.jpg,Highland Park,9,12,42003980100,2,12,5,3-15,40.48510172,-79.90614578
12,287640271,122-L-50,f,Asphalt Plant Testing Lab Building,f,Service,Department of Public Works,7777,LOCKWAY EAST,,https://tools.wprdc.org/images/pittsburgh/facilities/Asphalt_Plant_Testing_Lab_Building.jpg,Highland Park,9,12,42003980100,2,12,5,3-15,40.48495285,-79.90682476
13,970468255,36-L-81,f,Banksville Concession Stand,f,Concession,Department of Public Works,NA,CARNAHAN RD,,https://tools.wprdc.org/images/pittsburgh/facilities/Banksville_Concession_Stand.jpg,Banksville,2,20,42003202300,5,20,6,4-9,40.40732827,-80.03796832
